Report Type,Service Name,Service ID,Service Type,Depends On (Target),Dependency ID
Active Relationship,"Podcast Feeds (Apple Podcasts, Google Podcasts)",PI6H8ML,Business,PL Media Feeds,D2EB8V53RFLYDIWFSN4
Active Relationship,Kids App,PX450TF,Business,Search (Algolia),D2EB8Q60VIALLOS2CFY
Active Relationship,Image Resizer (Akamai),PANIBOM,Business,wCMS (CoreMedia 11),D2EB8FGM1XGOMTLS634
Active Relationship,ABC Listen App,P4LREYN,Business,Remote Config & Feature Flag Mgmt (Google Firebase),D2EB8ROIYYP0G2N4VEM
Active Relationship,Experiment Manager (AWS CloudWatch Evidently),PSQETI7,Business,A/B Testing (Google Firebase),D2EB8GRBULT1CV79RMK
Active Relationship,iview CTV (Smart TVs),PY0SPKK,Business,"SeeSaw (Favourites, History, Prefs)",D2EB8UDUPPEQYBYWJ4C
Active Relationship,Country Web,PC3TQN9,Business,App Framework (Next.js),D2EB8NW9QBOZC3ZGJRL
Active Relationship,Measurement & Notifications (Google Firebase),P7TA9RS,Business,ABC Listen App,D2EB8I21NA5E2WSRD4I
Active Relationship,iview TV App (tvOS / Android TV),P3QZ923,Business,iview API,D2EB8OJMMNV5P4S7CKX
Active Relationship,Push Notifications (TBC),P9U04EF,Business,ABC listen Push Notifications (Google Firebase),D2EB8VSGNRS4QJP6LIJ
Active Relationship,Homepage,P4UBELO,Business,App Framework (Next.js),D2EB8Y27SYDR04HSE1D
Active Relationship,Recommendations Engine,P3HP8C2,Business,Personalised Recommendations,D2EB8I5XSO6F52XJTUR
Active Relationship,Composer API (SFMC Template Composer),PXQ2GBB,Business,Weather Service (Aurora),D2EB8EHKPF7F3AENZ0A
Active Relationship,Composer API (SFMC Template Composer),PXQ2GBB,Business,Recommendations Engine,D2EB8EHKPF7F3AENYZE
Active Relationship,wCMS (CoreMedia 11),P4VHRE4,Business,Media Storage (On-prem),D2EB8H30ARW4JDLN5YS
Active Relationship,ABC Listen App,P4LREYN,Business,Search (Algolia),D2EB8ROIYYP0G2N4VI6
Active Relationship,Push Notifications (TBC),P9U04EF,Business,triple j Push Notifications (Google Firebase),D2EB8VSGNRS4QJP6LGJ
Active Relationship,Classic Web,PKC2DG3,Business,App Framework (Next.js),D2EB8LIMFR2C0D22ADT
Active Relationship,News App,P91SEKZ,Business,Login & Consent Mgmt (Gigya),D2EB8L6XZKZ8TUNOW0M
Active Relationship,Recommendations Engine,P3HP8C2,Business,Disco (PAX Data Service),D2EB8I5XSO6F52XJTX7
Active Relationship,Pacific Web,PCMDCER,Business,Core Next,D2EB8S43KIT4OR6AQM4
Active Relationship,triple j Unearthed APIs & Transcoding,P20YJKM,Business,triple j Unearthed UGC CMS (Kentico.ai),D2EB8QPHMGFQWJG0ODJ
Active Relationship,Profiles Event Bus,PUR4P8X,Business,Login & Consent Mgmt (Gigya),D2EB8UHQV3FS0I3OZYU
Active Relationship,Chromecast Receiver,P83MFAB,Business,ABC listen Chromecast Receiver,D2EB8XYBNKCPXYCZX7H
Active Relationship,Emergencies,P77CT6W,Business,Emergency Service (Aurora),D2EB8TQHTD8KLB65QER
Active Relationship,PL Media Feeds,PDK6C1P,Business,Terminus API,D2EB8FCPWJFNKNGZPB8
Active Relationship,First-party Data Batch Ingestor,PVE4BPB,Business,ABC Account API,D2EB8SBVVAV6T3FVO3E
Active Relationship,News Web,PSGOGCQ,Business,Recommendations Engine,D2EB8RCUISLX9K8RH0A
Active Relationship,triple j App,P1FGDVJ,Business,Search (Algolia),D2EB8LEQAD1AY6X9TOE
Active Relationship,Terminus API,P35H2A0,Business,iview API,D2EB8J8VAKGPQS9GHV5
Active Relationship,Emergencies,P77CT6W,Business,Location Service (Aurora),D2EB8TQHTD8KLB65QI1
Active Relationship,iview CTV (Smart TVs),PY0SPKK,Business,iview API,D2EB8UDUPPEQYBYWJ8X
Active Relationship,Facebook News,P1WIKO0,Business,Facebook News Notifier,D2EB8X36GG4HGLAO6WE
Active Relationship,iview CMS (Dashboard),PJ4N89J,Business,iview API,D2EB8IDQ3G8H9F74RJL
Active Relationship,Core Next,P49JYW8,Business,Elections Service (Aurora),D2EB8SRGGUZB1RZ1JBS
Active Relationship,Regional and Local Sites (x54 Sites),PU6P5GU,Business,App Framework (Next.js),D2EB8P6ZJ01C25KY58X
Active Relationship,"TV Programs (BTN, Gardening, Media Watch, Q&A, Rage)",PKUNXR0,Business,App Framework (Next.js),D2EB8G7V3NNW20JBFO1
Active Relationship,Classic Web,PKC2DG3,Business,Core Next,D2EB8LIMFR2C0D22AF0
Active Relationship,triple j Web,PHNWJVG,Business,Core Next,D2EB8QX9X8HT0VPLLX8
Active Relationship,Kids App,PX450TF,Business,ABC Help (Zendesk Support),D2EB8Q60VIALLOS2CDA
Active Relationship,Jazz Web,PCELWPO,Business,Core Next,D2EB8MTC8FEOQENJVWC
Active Relationship,ABC News Briefings (Audio Briefings),PYBKVMM,Business,PL Media Feeds,D2EB8TAX7T4GCMMZV7K
Active Relationship,iview CTV (Smart TVs),PY0SPKK,Business,iview TAL,D2EB8UDUPPEQYBYWJ5W
Active Relationship,ABC Listen App,P4LREYN,Business,App Support API,D2EB8ROIYYP0G2N4VGK
Active Relationship,ABC Account,PJP2RBM,Business,Login & Consent Mgmt (Gigya),D2EB8NOHFJMX7RPVM6U
Active Relationship,Email Newsletters (SFMC),PZQSC21,Business,Terminus API,D2EB8S7ZPWU5QXB37C4
Active Relationship,Terminus API,P35H2A0,Business,"Content API (wCMS, CAPI)",D2EB8J8VAKGPQS9GHTU
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile Flagship,D2EH6NHAV6S329WYHML
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile iview,D2EH6NHAV6S329WYHMN
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile Listen,D2EH6NHAV6S329WM6SO
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile ABC-ME,D2EH6NHAV6S329WYHMQ
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile News,D2EH6NHAV6S329WYHMR
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile Art Maker,D2EH6NHAV6S329WYHMS
Active Relationship,Mobile Apps,PTHDVL4,Business,Mobile Triple J,D2EH6NHAV6S329X6QIA
Active Relationship,Livetovod-high,PYD8TA4,Technical,Digital Media Delivery,D44C6H5C4F4W6J3NG
Active Relationship,LiveToVod-NPAW-High,P4NAVDF,Technical,Digital Media Delivery,D2FS1R0VGPANYKA9OOS
Active Relationship,iView Live Streams,PCZ5UED,Technical,LiveToVod-NPAW-High,DE7P1AS751ODB6UK9
Active Relationship,DTV Adelaide,PV6ICYN,Business,ABC TV HD-DTV-Adelaide,D2G7JXBARGWFGY219QA
Active Relationship,DTV Adelaide,PV6ICYN,Business,ABC TV KIDSFamily-DTV-Adelaide,D2G7JXBARGWFGY219QJ
Active Relationship,DTV Adelaide,PV6ICYN,Business,ABC Entertains-DTV-Adelaide,D2G7JXBARGWFGY219QK
Active Relationship,DTV Adelaide,PV6ICYN,Business,ABC TV SD-DTV-Adelaide,D2G7JXBARGWFGY219QQ
Active Relationship,DTV Adelaide,PV6ICYN,Business,ABC News-DTV-Adelaide,D2G7JXBARGWFGY219Q6
Active Relationship,DTV Brisbane,PRXXBIK,Business,ABC TV KIDSFamily-DTV-Brisbane,D2G7JXF6WUXGJ46TQID
Active Relationship,DTV Brisbane,PRXXBIK,Business,ABC TV HD-DTV-Brisbane,D2G7JXF6WUXGJ46TQIN
Active Relationship,DTV Brisbane,PRXXBIK,Business,ABC Entertains-DTV-Brisbane,D2G7JXF6WUXGJ46TQIX
Active Relationship,DTV Brisbane,PRXXBIK,Business,ABC News-DTV-Brisbane,D2G7JXF6WUXGJ46TQJ3
Active Relationship,DTV Brisbane,PRXXBIK,Business,ABC TV SD-DTV-Brisbane,D2G7JXF6WUXGJ46TQIA
Active Relationship,DTV Canberra,PNL9B6X,Business,ABC TV SD-DTV-Canberra,D2G7JXJ328YHLABM7AS
Active Relationship,DTV Canberra,PNL9B6X,Business,ABC TV HD-DTV-Canberra,D2G7JXJ328YHLABM7BB
Active Relationship,DTV Canberra,PNL9B6X,Business,ABC TV KIDSFamily-DTV-Canberra,D2G7JXJ328YHLABM7BE
Active Relationship,DTV Canberra,PNL9B6X,Business,ABC News-DTV-Canberra,D2G7JXJ328YHLABM7BK
Active Relationship,DTV Canberra,PNL9B6X,Business,ABC Entertains-DTV-Canberra,D2G7JXJ328YHLABM7AL
Active Relationship,DTV Darwin,P7OLAU7,Business,ABC News-DTV-Darwin,D2G7JXMZ7MZINGGEO33
